DayofMonth,FltNum,PlaneID,Destination,TaxiOut,SchedTime,ActTime,Distance
29,1589,751AT,ABQ,27,206,215,1250
30,833,619DL,ABQ,15,204,205,1250
30,1125,626DL,ABQ,36,211,227,1250
30,1589,607DL,ABQ,18,206,207,1250
31,833,661D,ABQ,15,204,214,1250
31,1125,629DL,ABQ,26,211,213,1250
31,1589,668D,ABQ,47,206,231,1250
1,342,927DA,ALB,14,132,130,870
1,768,917DL,ALB,19,137,138,870
1,844,952DL,ALB,18,134,134,870
1,894,915DE,ALB,16,133,131,870
2,342,907DL,ALB,22,132,134,870
2,768,937DL,ALB,30,137,146,870
2,844,928DL,ALB,19,134,138,870
2,894,940DL,ALB,18,133,129,870
3,342,926DL,ALB,21,132,136,870
3,768,950DL,ALB,13,137,130,870
3,844,922DL,ALB,24,134,142,870
3,894,906DL,ALB,17,133,132,870
4,342,969DL,ALB,16,132,131,870
4,768,964DL,ALB,17,137,141,870
4,844,943DL,ALB,14,134,133,870
4,894,907DE,ALB,20,133,138,870
5,342,945DL,ALB,18,132,132,870
5,768,938DL,ALB,20,137,138,870
5,844,915DE,ALB,14,134,131,870
5,894,942DL,ALB,19,133,135,870
6,342,988DL,ALB,11,132,128,870
6,768,954DL,ALB,15,137,141,870
6,844,993DL,ALB,14,134,129,870
6,894,918DE,ALB,14,133,132,870
7,342,924DL,ALB,9,132,135,870
7,768,931DL,ALB,20,137,143,870
7,844,926DL,ALB,27,134,148,870
7,894,907DE,ALB,35,133,148,870
8,342,924DL,ALB,10,132,126,870
8,768,959DL,ALB,14,137,130,870
8,844,923DL,ALB,24,134,143,870
8,894,902DE,ALB,16,133,130,870
9,342,903DL,ALB,13,132,125,870
9,768,965DL,ALB,21,137,129,870
9,844,997DL,ALB,22,134,135,870
9,894,953DL,ALB,11,133,122,870
10,342,919DL,ALB,22,132,141,870
10,768,913DE,ALB,50,137,173,870
10,844,916DE,ALB,10,134,125,870
10,894,987DL,ALB,14,133,137,870
11,342,982DL,ALB,10,132,129,870
11,768,910DE,ALB,28,137,152,870
11,844,989DL,ALB,12,134,129,870
11,894,936DL,ALB,23,133,143,870
12,342,949DL,ALB,13,132,131,870
12,768,971DL,ALB,42,137,154,870
12,844,943DL,ALB,13,134,132,870
12,894,922DL,ALB,21,133,141,870
13,342,957DL,ALB,15,132,129,870
13,768,942DL,ALB,13,137,128,870
13,844,919DE,ALB,18,134,132,870
13,894,961DL,ALB,21,133,129,870
14,342,966DL,ALB,17,132,131,870
14,768,910DE,ALB,11,137,123,870
14,844,903DL,ALB,14,134,133,870
14,894,918DE,ALB,19,133,127,870
15,342,911DE,ALB,18,132,128,870
15,768,967DL,ALB,15,137,131,870
15,844,994DL,ALB,14,134,122,870
15,894,950DL,ALB,10,133,122,870
16,342,954DL,ALB,10,132,121,870
16,768,920DE,ALB,21,137,132,870
16,844,947DL,ALB,30,134,137,870
16,894,980DL,ALB,13,133,124,870
17,342,952DL,ALB,14,132,130,870
17,768,946DL,ALB,21,137,140,870
17,844,984DL,ALB,13,134,135,870
17,894,975DL,ALB,26,133,136,870
18,342,912DE,ALB,13,132,131,870
18,768,940DL,ALB,15,137,129,870
18,844,965DL,ALB,15,134,133,870
18,894,920DL,ALB,26,133,140,870
19,342,927DA,ALB,17,132,133,870
19,768,989DL,ALB,24,137,142,870
19,844,968DL,ALB,37,134,160,870
19,894,995DL,ALB,20,133,130,870
20,342,973DL,ALB,16,132,134,870
20,768,930DL,ALB,31,137,148,870
20,844,997DL,ALB,15,134,134,870
20,894,935DL,ALB,14,133,132,870
21,342,983DL,ALB,18,132,139,870
21,768,909DL,ALB,17,137,140,870
21,844,904DL,ALB,17,134,136,870
21,894,931DL,ALB,21,133,143,870
22,342,958DL,ALB,14,132,143,870
22,768,920DL,ALB,19,137,154,870
22,844,918DL,ALB,29,134,158,870
22,894,932DL,ALB,31,133,164,870
23,342,984DL,ALB,8,132,129,870
23,768,910DE,ALB,11,137,129,870
23,844,908DL,ALB,12,134,138,870
23,894,972DL,ALB,12,133,127,870
24,342,995DL,ALB,11,132,135,870
24,768,987DL,ALB,17,137,143,870
24,844,949DL,ALB,21,134,134,870
24,894,961DL,ALB,27,133,148,870
25,342,914DL,ALB,18,132,139,870
25,768,915DE,ALB,23,137,145,870
25,844,917DE,ALB,21,134,145,870
25,894,949DL,ALB,24,133,147,870
26,342,947DL,ALB,19,132,140,870
26,768,907DE,ALB,22,137,145,870
26,844,912DE,ALB,15,134,139,870
26,894,913DE,ALB,21,133,144,870
27,342,970DL,ALB,18,132,141,870
27,768,992DL,ALB,29,137,150,870
27,844,986DL,ALB,13,134,136,870
27,894,927DA,ALB,22,133,140,870
28,342,925DL,ALB,16,132,142,870
28,768,987DL,ALB,42,137,169,870
28,844,906DL,ALB,25,134,153,870
28,894,999D,ALB,18,133,128,870
29,342,944DL,ALB,28,132,149,870
29,768,993DL,ALB,27,137,151,870
29,844,949DL,ALB,60,134,183,870
29,894,971DL,ALB,14,133,138,870
30,342,920DE,ALB,17,132,133,870
30,768,951DL,ALB,25,137,141,870
30,844,914DE,ALB,28,134,147,870
30,894,926DL,ALB,16,133,131,870
31,342,904DL,ALB,21,132,133,870
31,768,912DL,ALB,31,137,146,870
31,844,929DL,ALB,17,134,132,870
31,894,916DL,ALB,33,133,145,870
1,681,242WA,AUS,29,147,161,800
1,976,971DL,AUS,17,140,139,800
1,1005,309DL,AUS,20,145,142,800
1,1221,935DL,AUS,15,140,133,800
1,1819,918DL,AUS,16,140,139,800
2,681,332DL,AUS,29,147,150,800
2,1005,302DL,AUS,11,145,142,800
2,1221,973DL,AUS,20,140,139,800
2,1819,990DL,AUS,13,140,135,800
3,681,306DL,AUS,23,147,146,800
3,976,915DL,AUS,31,140,155,800
3,1005,237WA,AUS,18,145,143,800
3,1221,911DE,AUS,20,140,136,800
3,1819,978DL,AUS,18,140,140,800
4,681,308DL,AUS,19,147,139,800
4,976,909DE,AUS,24,140,142,800
4,1005,306DL,AUS,19,145,137,800
4,1221,981DL,AUS,12,140,137,800
4,1819,946DL,AUS,14,140,132,800
5,681,378DL,AUS,20,147,139,800
5,976,920DE,AUS,27,140,140,800
5,1005,308DL,AUS,14,145,137,800
5,1221,925DL,AUS,11,140,127,800
5,1819,922DL,AUS,21,140,135,800
6,681,334DL,AUS,16,147,137,800
6,976,919DL,AUS,28,140,145,800
6,1005,312DL,AUS,16,145,141,800
6,1221,986DL,AUS,9,140,126,800
6,1819,969DL,AUS,14,140,133,800
7,681,237WA,AUS,19,147,142,800
7,976,952DL,AUS,25,140,145,800
7,1005,334DL,AUS,15,145,137,800
7,1221,920DL,AUS,20,140,139,800
7,1819,907DL,AUS,19,140,136,800
8,681,379DL,AUS,16,147,141,800
8,976,990DL,AUS,37,140,155,800
8,1005,237WA,AUS,20,145,144,800
8,1221,996DL,AUS,14,140,132,800
8,1819,902DL,AUS,29,140,147,800
9,681,305DL,AUS,21,147,143,800
9,1005,379DL,AUS,13,145,135,800
9,1221,914DL,AUS,15,140,132,800
9,1819,907DE,AUS,28,140,152,800
10,681,313DL,AUS,21,147,143,800
10,976,920DE,AUS,15,140,132,800
10,1005,305DL,AUS,9,145,130,800
10,1221,966DL,AUS,13,140,134,800
10,1819,941DL,AUS,21,140,142,800
11,681,381DL,AUS,19,147,143,800
11,976,987DL,AUS,20,140,144,800
11,1005,313DL,AUS,15,145,141,800
11,1221,978DL,AUS,16,140,142,800
11,1819,965DL,AUS,11,140,137,800
12,681,238WA,AUS,19,147,149,800
12,976,961DL,AUS,29,140,160,800
12,1005,332DL,AUS,17,145,143,800
12,1221,916DE,AUS,37,140,161,800
12,1819,933DL,AUS,20,140,154,800
13,681,316DL,AUS,18,147,148,800
13,976,901DE,AUS,13,140,137,800
13,1005,238WA,AUS,19,145,147,800
13,1221,967DL,AUS,15,140,143,800
13,1819,918DE,AUS,22,140,152,800
14,681,311DL,AUS,23,147,159,800
14,976,905DL,AUS,24,140,152,800
14,1005,316DL,AUS,18,145,155,800
14,1221,908DL,AUS,15,140,153,800
14,1819,911DE,AUS,16,140,146,800
15,681,244WA,AUS,23,147,150,800
15,976,988DL,AUS,21,140,147,800
15,1005,315DL,AUS,25,145,150,800
15,1221,946DL,AUS,17,140,146,800
15,1819,989DL,AUS,25,140,151,800
16,681,306DL,AUS,22,147,147,800
16,1005,313DL,AUS,12,145,141,800
16,1221,909DL,AUS,13,140,135,800
16,1819,986DL,AUS,15,140,137,800
17,681,245WA,AUS,22,147,150,800
17,976,932DL,AUS,23,140,147,800
17,1005,306DL,AUS,17,145,139,800
17,1221,942DL,AUS,13,140,132,800
17,1819,925DL,AUS,39,140,165,800
18,681,307DL,AUS,28,147,152,800
18,976,983DL,AUS,27,140,152,800
18,1005,245WA,AUS,28,145,152,800
18,1221,996DL,AUS,21,140,142,800
18,1819,918DL,AUS,15,140,141,800
19,681,374DL,AUS,0,147,0,800
19,976,937DL,AUS,18,140,149,800
19,1005,376DL,AUS,52,145,184,800
19,1221,976DL,AUS,14,140,148,800
19,1819,979DL,AUS,18,140,156,800
20,681,379DL,AUS,35,147,157,800
20,976,974DL,AUS,24,140,142,800
20,1005,237WA,AUS,19,145,142,800
20,1221,933DL,AUS,18,140,135,800
20,1819,955DL,AUS,24,140,141,800
21,681,324DL,AUS,30,147,150,800
21,976,901DE,AUS,14,140,135,800
21,1005,245WA,AUS,8,145,129,800
21,1221,995DL,AUS,16,140,136,800
21,1819,924DL,AUS,20,140,137,800
22,681,327DL,AUS,24,147,145,800
22,976,951DL,AUS,25,140,150,800
22,1005,324DL,AUS,17,145,138,800
22,1221,972DL,AUS,10,140,128,800
22,1819,989DL,AUS,17,140,138,800
23,681,243WA,AUS,13,147,143,800
23,1005,382DL,AUS,10,145,143,800
23,1221,923DL,AUS,14,140,142,800
23,1819,902DE,AUS,24,140,154,800
24,681,318DL,AUS,17,147,139,800
24,976,954DL,AUS,29,140,152,800
24,1005,378DL,AUS,29,145,152,800
24,1221,944DL,AUS,20,140,146,800
24,1819,981DL,AUS,16,140,140,800
25,681,304DL,AUS,22,147,139,800
25,976,909DE,AUS,41,140,161,800
25,1005,330DL,AUS,26,145,145,800
25,1221,959DL,AUS,14,140,134,800
25,1819,961DL,AUS,22,140,143,800
26,681,332DL,AUS,28,147,150,800
26,976,906DL,AUS,30,140,151,800
26,1005,304DL,AUS,13,145,142,800
26,1221,972DL,AUS,8,140,132,800
26,1819,982DL,AUS,18,140,136,800
27,681,311DL,AUS,20,147,141,800
27,976,900DE,AUS,15,140,135,800
27,1005,303DL,AUS,29,145,149,800
27,1221,940DL,AUS,12,140,128,800
27,1819,957DL,AUS,23,140,143,800
28,681,307DL,AUS,17,147,146,800
28,976,968DL,AUS,20,140,133,800
28,1005,374DL,AUS,28,145,143,800
28,1221,988DL,AUS,17,140,146,800
28,1819,913DE,AUS,19,140,139,800
29,681,308DL,AUS,35,147,159,800
29,976,963DL,AUS,24,140,145,800
29,1005,322DL,AUS,19,145,142,800
29,1221,907DL,AUS,13,140,133,800
29,1819,970DL,AUS,21,140,139,800
30,681,314DA,AUS,21,147,142,800
30,1005,321DL,AUS,14,145,133,800
30,1221,929DL,AUS,16,140,136,800
30,1819,971DL,AUS,25,140,150,800
31,681,329DL,AUS,23,147,152,800
31,976,984DL,AUS,38,140,167,800
31,1005,245WA,AUS,17,145,139,800
31,1221,939DL,AUS,12,140,133,800
31,1819,974DL,AUS,22,140,144,800
1,286,934DL,BDL,19,135,144,859
1,300,677DL,BDL,12,138,130,859
1,422,139DL,BDL,22,137,141,859
1,776,907DE,BDL,24,141,141,859
1,869,909DE,BDL,9,138,129,859
1,942,624DL,BDL,25,135,142,859
1,1110,940DL,BDL,16,140,134,859
2,286,942DL,BDL,15,135,134,859
2,422,630DL,BDL,13,137,132,859
2,776,924DL,BDL,17,141,134,859
2,869,916DE,BDL,10,138,127,859
2,942,653DL,BDL,20,135,141,859
2,1110,906DL,BDL,20,140,139,859
2,1408,112DL,BDL,18,138,138,859
3,286,918DL,BDL,15,135,135,859
3,422,662D,BDL,33,137,149,859
3,776,906DE,BDL,27,141,143,859
3,869,963DL,BDL,11,138,131,859
3,942,608DA,BDL,17,135,131,859
3,1110,985DL,BDL,16,140,135,859
3,1408,660DL,BDL,17,138,135,859
4,286,925DL,BDL,16,135,133,859
4,300,115DA,BDL,22,138,140,859
4,422,657DL,BDL,23,137,143,859
4,776,982DL,BDL,13,141,135,859
4,869,931DL,BDL,12,138,132,859
4,942,661D,BDL,12,135,130,859
4,1110,936DL,BDL,19,140,143,859
5,286,912DE,BDL,14,135,128,859
5,300,104DA,BDL,17,138,130,859
5,422,610DL,BDL,21,137,138,859
5,776,914DL,BDL,17,141,139,859
5,869,917DE,BDL,10,138,126,859
5,942,673DL,BDL,18,135,134,859
5,1110,933DL,BDL,18,140,135,859
6,286,900DE,BDL,14,135,136,859
6,300,618DL,BDL,13,138,131,859
6,422,630DL,BDL,14,137,138,859
6,776,980DL,BDL,20,141,143,859
6,869,906DE,BDL,10,138,131,859
6,942,666D,BDL,13,135,129,859
6,1110,3768,BDL,16,140,136,859
7,286,974DL,BDL,18,135,153,859
7,300,109DL,BDL,16,138,138,859
7,422,615DL,BDL,13,137,138,859
7,776,914DL,BDL,19,141,143,859
7,869,966DL,BDL,17,138,145,859
7,942,625DL,BDL,20,135,142,859
7,1110,935DL,BDL,11,140,134,859
8,286,917DE,BDL,14,135,135,859
8,300,112DL,BDL,20,138,143,859
8,422,613DL,BDL,14,137,139,859
8,776,901DE,BDL,21,141,148,859
8,869,938DL,BDL,12,138,133,859
8,942,663D,BDL,13,135,130,859
8,1110,953DL,BDL,18,140,143,859
9,286,922DL,BDL,14,135,130,859
9,422,615DL,BDL,11,137,122,859
9,776,920DL,BDL,19,141,138,859
9,869,980DL,BDL,7,138,125,859
9,942,611DL,BDL,9,135,122,859
9,1110,987DL,BDL,14,140,132,859
9,1408,106DA,BDL,10,138,121,859
10,286,915DE,BDL,13,135,129,859
10,422,676DL,BDL,12,137,125,859
10,776,944DL,BDL,17,141,139,859
10,869,946DL,BDL,12,138,130,859
10,942,610DL,BDL,12,135,122,859
10,1110,936DL,BDL,15,140,128,859
10,1408,101DA,BDL,24,138,141,859
11,286,903DL,BDL,10,135,130,859
11,300,114DL,BDL,15,138,132,859
11,422,607DL,BDL,18,137,136,859
11,776,984DL,BDL,15,141,140,859
11,869,906DL,BDL,9,138,130,859
11,942,614DL,BDL,16,135,135,859
11,1110,922DL,BDL,16,140,142,859
12,286,921DL,BDL,14,135,135,859
12,300,107DL,BDL,21,138,140,859
12,422,607DL,BDL,14,137,138,859
12,776,976DL,BDL,17,141,144,859
12,869,928DL,BDL,16,138,142,859
12,942,690DL,BDL,11,135,127,859
12,1110,958DL,BDL,17,140,141,859
13,286,905DL,BDL,10,135,120,859
13,300,102DA,BDL,13,138,128,859
13,422,683DA,BDL,13,137,125,859
13,776,986DL,BDL,26,141,141,859
13,869,920DE,BDL,9,138,124,859
13,942,605DL,BDL,12,135,126,859
13,1110,995DL,BDL,14,140,130,859
14,286,977DL,BDL,11,135,126,859
14,300,112DL,BDL,18,138,133,859
14,422,143DA,BDL,18,137,136,859
14,776,959DL,BDL,27,141,140,859
14,869,936DL,BDL,34,138,147,859
14,942,657DL,BDL,18,135,132,859
14,1110,914DL,BDL,24,140,144,859
15,286,919DL,BDL,11,135,127,859
15,300,634DL,BDL,18,138,133,859
15,422,686DA,BDL,12,137,125,859
15,776,912DL,BDL,27,141,146,859
15,869,976DL,BDL,12,138,125,859
15,942,178DZ,BDL,18,135,125,859
15,1110,982DL,BDL,23,140,136,859
16,286,908DL,BDL,14,135,122,859
16,422,656DL,BDL,15,137,130,859
16,776,977DL,BDL,10,141,124,859
16,869,907DL,BDL,22,138,132,859
16,942,610DL,BDL,21,135,127,859
16,1110,975DL,BDL,17,140,126,859
16,1408,672DL,BDL,20,138,131,859
17,286,901DE,BDL,14,135,134,859
17,422,683DA,BDL,15,137,132,859
17,776,918DL,BDL,25,141,146,859
17,869,905DL,BDL,12,138,130,859
17,942,675DL,BDL,16,135,132,859
17,1110,920DL,BDL,20,140,138,859
17,1408,110DL,BDL,13,138,131,859
18,286,939DL,BDL,14,135,132,859
18,300,113DA,BDL,17,138,137,859
18,422,627DL,BDL,18,137,133,859
18,776,986DL,BDL,24,141,146,859
18,869,954DL,BDL,27,138,149,859
18,942,661D,BDL,27,135,149,859
18,1110,953DL,BDL,36,140,160,859
19,286,922DL,BDL,11,135,131,859
19,300,104DA,BDL,24,138,142,859
19,422,668D,BDL,13,137,130,859
19,776,905DL,BDL,12,141,131,859
19,869,959DL,BDL,10,138,131,859
19,942,652DL,BDL,36,135,153,859
19,1110,924DL,BDL,17,140,140,859
20,286,908DL,BDL,12,135,137,859
20,300,109DL,BDL,21,138,139,859
20,422,602DL,BDL,10,137,131,859
20,776,920DE,BDL,25,141,146,859
20,869,661D,BDL,11,138,130,859
20,942,667D,BDL,19,135,139,859
20,1110,990DL,BDL,14,140,135,859
21,286,957DL,BDL,9,135,131,859
21,300,113DA,BDL,10,138,132,859
21,422,601DL,BDL,14,137,136,859
21,776,985DL,BDL,21,141,147,859
21,869,910DL,BDL,15,138,141,859
21,942,661D,BDL,14,135,136,859
21,1110,932DL,BDL,19,140,141,859
22,286,978DL,BDL,9,135,137,859
22,300,104DA,BDL,12,138,138,859
22,422,112DL,BDL,19,137,148,859
22,776,952DL,BDL,24,141,156,859
22,869,962DL,BDL,22,138,154,859
22,942,683DA,BDL,22,135,147,859
22,1110,934DL,BDL,17,140,143,859
23,286,931DL,BDL,10,135,135,859
23,422,617DL,BDL,8,137,130,859
23,776,954DL,BDL,12,141,136,859
23,869,920DE,BDL,10,138,135,859
23,942,627DL,BDL,12,135,138,859
23,1110,905DL,BDL,20,140,152,859
23,1408,626DL,BDL,21,138,139,859
24,286,983DL,BDL,23,135,148,859
24,422,666D,BDL,14,137,138,859
24,776,915DE,BDL,17,141,149,859
24,869,955DL,BDL,12,138,141,859
24,942,654DL,BDL,12,135,125,859
24,1110,937DL,BDL,16,140,128,859
24,1408,108DL,BDL,33,138,157,859
25,286,957DL,BDL,11,135,139,859
25,300,113DA,BDL,14,138,137,859
25,422,672DL,BDL,11,137,131,859
25,776,962DL,BDL,21,141,151,859
25,869,987DL,BDL,13,138,139,859
25,942,680DA,BDL,13,135,138,859
25,1110,906DL,BDL,19,140,142,859
26,286,911DL,BDL,9,135,134,859
26,300,109DL,BDL,16,138,140,859
26,422,692DL,BDL,13,137,140,859
26,776,961DL,BDL,17,141,146,859
26,869,907DL,BDL,12,138,135,859
26,942,641DL,BDL,15,135,138,859
26,1110,927DA,BDL,18,140,143,859
27,286,926DL,BDL,14,135,136,859
27,300,106DA,BDL,14,138,132,859
27,422,669D,BDL,15,137,136,859
27,776,909DE,BDL,23,141,147,859
27,869,990DL,BDL,9,138,130,859
27,942,654DL,BDL,11,135,131,859
27,1110,913DL,BDL,17,140,138,859
28,286,963DL,BDL,13,135,139,859
28,300,657DL,BDL,18,138,139,859
28,422,120DL,BDL,25,137,146,859
28,776,924DL,BDL,9,141,130,859
28,869,966DL,BDL,19,138,147,859
28,942,683DA,BDL,28,135,151,859
28,1110,990DL,BDL,20,140,148,859
29,286,942DL,BDL,13,135,150,859
29,300,103DA,BDL,20,138,147,859
29,422,687DL,BDL,15,137,140,859
29,776,997DL,BDL,11,141,135,859
29,869,901DL,BDL,16,138,141,859
29,942,751AT,BDL,63,135,188,859
29,1110,926DL,BDL,39,140,162,859
30,286,941DL,BDL,1,135,126,859
30,422,676DL,BDL,21,137,142,859
30,776,913DL,BDL,24,141,148,859
30,869,912DL,BDL,11,138,132,859
30,942,652DL,BDL,15,135,135,859
30,1110,916DL,BDL,27,140,159,859
30,1408,110DL,BDL,14,138,137,859
31,286,977DL,BDL,12,135,133,859
31,422,641DL,BDL,14,137,131,859
31,776,969DL,BDL,37,141,156,859
31,869,943DL,BDL,10,138,124,859
31,942,624DL,BDL,13,135,127,859
31,1110,945DL,BDL,16,140,135,859
31,1408,659DL,BDL,24,138,142,859
1,291,927DA,BHM,25,63,59,132
1,870,980DL,BHM,52,61,83,132
1,1134,236WA,BHM,21,51,51,132
1,1177,398DA,BHM,31,58,63,132
1,1631,930DL,BHM,24,52,52,132
1,1635,312DL,BHM,26,49,55,132
1,1673,988DL,BHM,24,48,52,132
1,1861,376DL,BHM,21,49,51,132
2,870,908DE,BHM,22,61,51,132
2,1134,307DL,BHM,23,51,53,132
2,1177,3736C,BHM,23,58,54,132
2,1631,969DL,BHM,26,52,54,132
2,1673,920DE,BHM,20,48,49,132
2,1861,334DL,BHM,20,49,51,132
3,291,976DL,BHM,44,63,76,132
3,870,912DE,BHM,27,61,64,132
3,1134,310DA,BHM,18,51,49,132
3,1177,3730B,BHM,32,58,65,132
3,1631,959DL,BHM,21,52,49,132
3,1635,380DL,BHM,23,49,56,132
3,1673,980DL,BHM,23,48,53,132
3,1861,378DL,BHM,39,49,71,132
4,291,969DL,BHM,29,63,59,132
4,870,900DE,BHM,19,61,47,132
4,1134,245WA,BHM,20,51,49,132
4,1177,3734B,BHM,22,58,53,132
4,1631,988DL,BHM,27,52,57,132
4,1635,379DL,BHM,14,49,41,132
4,1673,963DL,BHM,20,48,49,132
4,1861,324DL,BHM,26,49,57,132
5,291,945DL,BHM,26,63,57,132
5,870,922DL,BHM,34,61,63,132
5,1134,317DL,BHM,25,51,52,132
5,1177,398DA,BHM,27,58,59,132
5,1631,966DL,BHM,33,52,64,132
5,1635,382DL,BHM,14,49,48,132
5,1673,916DE,BHM,15,48,44,132
5,1861,376DL,BHM,29,49,61,132
6,291,988DL,BHM,29,63,59,132
6,870,981DL,BHM,27,61,58,132
6,1134,375DL,BHM,15,51,46,132
6,1177,3739,BHM,23,58,55,132
6,1631,975DL,BHM,22,52,54,132
6,1635,308DL,BHM,15,49,48,132
6,1673,989DL,BHM,12,48,43,132
6,1861,311DL,BHM,19,49,50,132
7,291,924DL,BHM,36,63,71,132
7,870,992DL,BHM,11,61,44,132
7,1134,323DL,BHM,18,51,52,132
7,1177,399DA,BHM,19,58,56,132
7,1631,901DE,BHM,35,52,68,132
7,1635,243WA,BHM,18,49,52,132
7,1673,929DL,BHM,11,48,43,132
7,1861,376DL,BHM,17,49,49,132
8,291,989DL,BHM,40,63,71,132
8,870,915DE,BHM,37,61,68,132
8,1134,244WA,BHM,21,51,54,132
8,1177,397DA,BHM,19,58,52,132
8,1631,913DE,BHM,27,52,62,132
8,1635,319DL,BHM,26,49,59,132
8,1673,966DL,BHM,10,48,43,132
8,1861,238WA,BHM,21,49,55,132
9,870,958DL,BHM,20,61,53,132
9,1134,318DL,BHM,13,51,48,132
9,1177,3736C,BHM,20,58,55,132
9,1631,911DE,BHM,27,52,59,132
9,1673,909DL,BHM,17,48,52,132
9,1861,373DL,BHM,9,49,42,132
10,291,919DL,BHM,27,63,62,132
10,870,917DE,BHM,23,61,59,132
10,1134,329DL,BHM,21,51,57,132
10,1177,3738B,BHM,32,58,70,132
10,1631,984DL,BHM,19,52,56,132
10,1635,322DL,BHM,14,49,50,132
10,1673,911DE,BHM,8,48,43,132
10,1861,238WA,BHM,12,49,49,132
11,291,982DL,BHM,35,63,71,132
11,870,913DL,BHM,21,61,56,132
11,1134,318DL,BHM,14,51,50,132
11,1177,3752,BHM,34,58,71,132
11,1631,911DE,BHM,12,52,43,132
11,1635,320DL,BHM,17,49,50,132
11,1673,946DL,BHM,19,48,54,132
11,1861,301DL,BHM,19,49,54,132
12,291,949DL,BHM,30,63,62,132
12,870,977DL,BHM,19,61,49,132
12,1134,302DL,BHM,22,51,52,132
12,1177,398DA,BHM,27,58,59,132
12,1631,986DL,BHM,24,52,55,132
12,1635,375DL,BHM,11,49,44,132
